GE/Alstom,Business,Segment,Order/ Sale/ OI,Equip/ Serv,GE contract code (Alstom only),IPS,Customer,Project,Country/US State,Qtr,Model, Unit Count , Order/ Sale $ , Order/ Sale Margin $ ,Order/ Sale Margin%,EXT/ OGE/ OI,Country of origin (Alstom only),USExport/ USDomestic/ Intl,Sub Business,GGO Sub Region,GGO Country,USExport or USDomestic,Actuals Only: Intl Check
GE,GPS,SAATUR,Sale,Equip,,992953,Carroll County,Carroll County,United States North,1Q,BOP,," 47,673,930.40 "," 2,762,365.60 ",0.057942896,EXT,,USDomestic,OTR,United States,UNITED STATES NORTH,USDomestic,Intl
GE,GPS,SAATUR,Sale,Equip,,723231,Nishi Nagoya,Nishi Nagoya,Japan,1Q,7HA,1," 29,590,527.37 "," 4,061,982.52 ",0.13727307,EXT,,USExport,Gas Turbine,Japan,JAPAN,USExport,Intl
GE,GPS,SAATUR,Sale,Equip,,723231,Nishi Nagoya,Nishi Nagoya,Japan,1Q,7HA,1," 29,590,527.37 "," 4,061,982.52 ",0.13727307,EXT,,USExport,Gas Turbine,Japan,JAPAN,USExport,Intl
GE,GPS,SAATUR,Sale,Equip,,723231,Nishi Nagoya,Nishi Nagoya,Japan,1Q,7HA,1," 29,590,527.37 "," 4,061,982.52 ",0.13727307,EXT,,USExport,Gas Turbine,Japan,JAPAN,USExport,Intl
GE,GPS,SAATUR,Sale,Equip,,1014774,Central Puerto,Central Puerto,Argentina,1Q,9HA,1," 24,088,606.13 "," (12,233,075.04)",-0.507836567,EXT,,Intl,EPE,Americas,ARGENTINA,USExport,Intl
GE,GPS,SAATUR,Sale,Equip,,488855,Footprint Power Salem Harbor,Footprint Power Salem Harbor,United States North,1Q,BOP,," 23,869,766.00 "," 2,438,894.67 ",0.102175056,EXT,,USDomestic,OTR,United States,UNITED STATES NORTH,USDomestic,Intl
GE,GPS,SAATUR,Sale,Equip,,932508,Duba,Duba,Saudi Arabia,1Q,BOP,," 23,145,782.80 "," (2,210,017.01)",-0.095482492,EXT,,USExport,OTR,MENAT,SAUDI ARABIA,USExport,Intl
GE,GPS,SAATUR,Sale,Equip,,AERO,EDF Torun,EDF Torun,Poland,1Q,LM6000 - Pkg,2," 22,259,889.18 "," (3,158,662.98)",-0.141899313,EXT,,Intl,PKG,Europe,POLAND,USExport,Intl
GE,GPS,SAATUR,Sale,Equip,,834503,HUADIAN KUNSHAN,HUADIAN KUNSHAN,China,1Q,9FB,1," 19,510,293.25 "," (278,382.83)",-0.014268511,EXT,,Intl,EPE,China,CHINA,USExport,Intl
GE,GPS,SAATUR,Sale,Equip,,803840,PUNTA CATALINA 720 MW COAL PLANT,PUNTA CATALINA 720 MW COAL PLANT,Dominican Republic,1Q,ST,1," 19,455,655.75 "," 1,332,900.96 ",0.068509691,EXT,,USExport,Steam Turbine,Americas,DOMINICAN REPUBLIC,USExport,Intl
GE,GPS,SAATUR,Sale,Equip,,AERO,Black Hills PAGS Expansion,Black Hills PAGS Expansion,United States North,1Q,LM6000 - Pkg,1," 18,430,964.00 "," 6,564,034.90 ",0.356141703,EXT,,USDomestic,PKG,United States,UNITED STATES NORTH,USDomestic,Intl
GE,GPS,SAATUR,Sale,Equip,,759424,MEGA ALGERIA BELLARA,MEGA ALGERIA BELLARA,Algeria,1Q,ST,1," 17,392,143.50 "," 5,180,928.84 ",0.297889035,EXT,,USExport,Steam Turbine,MENAT,ALGERIA,USExport,Intl
GE,GPS,SAATUR,Sale,Equip,,AERO,PLN TM2500,PLN TM2500,Indonesia,1Q,TM,1," 16,259,416.00 "," 8,199,645.30 ",0.504301342,EXT,,Intl,TM,Asean,INDONESIA,USExport,Intl
GE,GPS,SAATUR,Sale,Equip,,484256,Freeport LNG,Freeport LNG,United States North,1Q,7EA,1," 15,702,563.00 "," 8,489,063.70 ",0.540616439,EXT,,USDomestic,Gas Turbine,United States,UNITED STATES NORTH,USDomestic,Intl
